match,half,gshota_official,gshota_attrs_off,deta_off,assa_off,loca,dropped_nonfinite
117092,1st,23.096290354640438,27.367054095968697,21.59777230100901,35.38786869143458,74.12054699765511,0
117092,2nd,6.492039660130809,31.305195834741944,25.32933450004679,39.188109500679815,74.3672617687697,0
117093,1st,55.203338240142486,66.124258929844,60.05854511930543,73.35911165183259,88.61063001492737,0
117093,2nd,26.48920048943333,49.153647061682406,41.66769087711111,58.57454953868224,81.58643494804146,0
118575,1st,36.488892063288205,61.74904386805565,57.7924937357148,66.37584228915239,88.04238592961872,0
118575,2nd,32.492909453324145,63.70985457006796,55.20610288932251,74.2870403530173,88.97815516508236,0
118576,1st,24.604987845884118,48.56823053143529,42.74504074989786,56.00444445917161,87.00169346594289,0
118576,2nd,41.13766784908947,58.79688790335352,49.236432572062334,71.01981684570092,86.96635504035378,0
118577,1st,39.88693917927154,72.08612298272816,66.27692843753408,78.7701174805958,92.80227716075841,0
118577,2nd,39.73933103631011,62.52122071942944,56.65441132967116,69.48214241667155,89.75565451471394,0
118578,1st,29.59423718995316,54.83040980386489,50.74487213281098,59.56968257097143,87.47036437900854,0
118578,2nd,31.598004303499433,54.20241399222163,50.29990476334968,58.84970328580963,87.36538610561277,0
128057,1st,37.15490873020143,77.44599461228796,73.6807203297024,81.62592567763993,90.6295566794417,0
128057,2nd,33.62527050977626,66.41253025091662,59.39489050760732,74.683904537377,89.38545763065594,0
128058,1st,41.80453093495683,72.71980100515873,68.32489593259479,77.6429672535037,91.22706165323102,0
128058,2nd,34.29299764011534,60.618266160990544,57.536688181056384,64.62607443594493,85.90505415343367,0
132831,1st,21.55517147985286,29.52699183646277,26.369351437298505,33.669967457853,78.58763256712965,176
132831,2nd,8.922230026767949,52.57788964911637,47.53493321729865,58.297841000998304,77.6111241689619,0
132877,1st,21.079905293645503,31.328179872181277,28.894760935868945,34.0340875441503,76.53581342665635,0
132877,2nd,13.074133750844377,29.356294688476453,24.44228315435413,35.565139313829036,73.08105607411517,128
